Temparature,Humidity,Moisture,Nitrogen,Potassium,Phosphorous,Fertilizer Name,Crop Type,Soil Type
20,55.62,31.35,9,20,16,Ground Nuts,Barley,Sandy
20.03,52.64,32.35,13,0,13,Maize,Sugarcane,Sandy
20.05,52.7,33.35,36,0,0,Barley,Oil seeds,Sandy
20.09,57.36,35.35,10,17,18,Cotton,Sugarcane,Sandy
20.09,49.43,34.35,17,11,11,Cotton,Pulses,Sandy
20.13,47.52,36.35,19,13,15,Oil seeds,Pulses,Sandy
20.14,55.39,37.35,7,20,13,Ground Nuts,Ground Nuts,Sandy
20.18,49.8,39.35,21,0,14,Ground Nuts,Maize,Sandy
20.18,51.57,38.35,22,1,21,Millets,Tobacco,Sandy
20.18,41.05,50.71,25,34,21,Ground Nuts,Sugarcane,Sandy
20.22,58.88,41.35,25,0,22,Millets,Sugarcane,Sandy
20.25,57.16,42.35,10,13,13,Millets,Maize,Sandy
20.26,41.18,56.71,23,40,14,Oil seeds,Millets,Sandy
20.27,48.38,44.35,25,0,18,Paddy,Cotton,Sandy
20.28,44.28,262.71,33,246,0,Ground Nuts,Maize,Sandy
20.3,54.28,46.35,18,0,21,Cotton,Pulses,Sandy
20.3,51.89,48.35,18,10,11,Maize,Millets,Sandy
20.3,44.44,276.71,20,260,18,Cotton,Pulses,Sandy
20.34,48.15,49.35,16,0,23,Cotton,Millets,Sandy
20.36,57.7,50.35,25,0,18,Oil seeds,Ground Nuts,Sandy
20.36,57.92,51.35,37,0,0,Barley,Pulses,Sandy
20.41,47.39,53.35,9,0,12,Cotton,Paddy,Sandy
20.41,46.34,52.35,12,16,15,Maize,Paddy,Sandy
20.42,53.57,38.87,5,18,17,Maize,Cotton,Sandy
20.45,45.71,55.91,40,0,0,Oil seeds,Tobacco,Sandy
20.48,55.53,65.44,10,12,12,Paddy,Ground Nuts,Sandy
20.52,53.81,70,7,4,9,Cotton,Sugarcane,Sandy
20.52,46.83,35.07,10,9,14,Millets,Barley,Sandy
20.53,53.88,68.8,10,3,10,Cotton,Tobacco,Sandy
20.54,40.79,41.71,32,25,2,Millets,Cotton,Sandy
20.55,42.03,75.71,11,59,16,Cotton,Barley,Sandy
20.55,57.33,36.43,25,0,16,Oil seeds,Wheat,Sandy
20.56,55.98,65.55,34,0,0,Oil seeds,Barley,Sandy
20.58,55.92,31.05,21,0,18,Cotton,Ground Nuts,Sandy
20.63,44.57,299.71,36,1,3,Paddy,Tobacco,Sandy
20.69,57.12,59.85,13,2,9,Barley,Tobacco,Sandy
20.7,52.06,31.55,24,0,19,Maize,Cotton,Sandy
20.72,56.64,38.74,7,18,20,Paddy,Barley,Sandy
20.76,48.98,63.92,12,16,10,Maize,Tobacco,Sandy
20.76,55.99,62.58,40,0,0,Maize,Tobacco,Sandy
20.79,49.45,31.93,1,20,19,Cotton,Oil seeds,Sandy
20.79,58.13,63.78,11,15,11,Millets,Ground Nuts,Sandy
20.82,42.97,131.71,16,115,17,Ground Nuts,Tobacco,Sandy
20.82,46.55,35.51,28,0,21,Oil seeds,Cotton,Sandy
20.85,53.18,27.39,2,20,19,Paddy,Tobacco,Sandy
20.85,53.18,27.39,2,20,19,Paddy,Tobacco,Sandy
20.85,53.18,43.77,2,20,19,Paddy,Tobacco,Sandy
20.85,59.67,27.39,15,9,6,Oil seeds,Ground Nuts,Sandy
20.85,58.5,27.39,34,0,1,Maize,Barley,Sandy
20.86,49.09,27.39,28,0,20,Millets,Paddy,Sandy
20.87,52.12,27.39,19,0,21,Paddy,Pulses,Sandy
20.88,56.47,27.39,14,9,7,Oil seeds,Pulses,Sandy
